ID,Genero,edad,Ingreso Anual,Tipo_gasto(1-10)
0001,Hombre,19,15,39
0002,Hombre,21,15,81
0003,Mujer,20,16,6
0004,Mujer,23,16,77
0005,Mujer,31,17,40
0006,Mujer,22,17,76
0007,Mujer,35,18,6
0008,Mujer,23,18,94
0009,Hombre,64,19,3
0010,Mujer,30,19,72
0011,Hombre,67,19,14
0012,Mujer,35,19,99
0013,Mujer,58,20,15
0014,Mujer,24,20,77
0015,Hombre,37,20,13
0016,Hombre,22,20,79
0017,Mujer,35,21,35
0018,Hombre,20,21,66
0019,Hombre,52,23,29
0020,Mujer,35,23,98
0021,Hombre,35,24,35
0022,Hombre,25,24,73
0023,Mujer,46,25,5
0024,Hombre,31,25,73
0025,Mujer,54,28,14
0026,Hombre,29,28,82
0027,Mujer,45,28,32
0028,Hombre,35,28,61
0029,Mujer,40,29,31
0030,Mujer,23,29,87
0031,Hombre,60,30,4
0032,Mujer,21,30,73
0033,Hombre,53,33,4
0034,Hombre,18,33,92
0035,Mujer,49,33,14
0036,Mujer,21,33,81
0037,Mujer,42,34,17
0038,Mujer,30,34,73
0039,Mujer,36,37,26
0040,Mujer,20,37,75
0041,Mujer,65,38,35
0042,Hombre,24,38,92
0043,Hombre,48,39,36
0044,Mujer,31,39,61
0045,Mujer,49,39,28
0046,Mujer,24,39,65
0047,Mujer,50,40,55
0048,Mujer,27,40,47
0049,Mujer,29,40,42
0050,Mujer,31,40,42
0051,Mujer,49,42,52
0052,Hombre,33,42,60
0053,Mujer,31,43,54
0054,Hombre,59,43,60
0055,Mujer,50,43,45
0056,Hombre,47,43,41
0057,Mujer,51,44,50
0058,Hombre,69,44,46
0059,Mujer,27,46,51
0060,Hombre,53,46,46
0061,Hombre,70,46,56
0062,Hombre,19,46,55
0063,Mujer,67,47,52
0064,Mujer,54,47,59
0065,Hombre,63,48,51
0066,Hombre,18,48,59
0067,Mujer,43,48,50
0068,Mujer,68,48,48
0069,Hombre,19,48,59
0070,Mujer,32,48,47
0071,Hombre,70,49,55
0072,Mujer,47,49,42
0073,Mujer,60,50,49
0074,Mujer,60,50,56
0075,Hombre,59,54,47
0076,Hombre,26,54,54
0077,Mujer,45,54,53
0078,Hombre,40,54,48
0079,Mujer,23,54,52
0080,Mujer,49,54,42
0081,Hombre,57,54,51
0082,Hombre,38,54,55
