ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,FL_COUNT,ORIGIN_INDEX,DEST_INDEX,OUTDEGREE,WEIGHT,,,,
10135,10397,77,119,373,3,0.333333333,,,10135,9
10135,11433,85,119,1375,3,0.333333333,,,10140,529
10135,13930,18,119,3770,3,0.333333333,,,10141,1
10140,10397,93,124,373,23,0.043478261,,,10146,1
10140,10423,4,124,399,23,0.043478261,,,10154,9
10140,10821,64,124,792,23,0.043478261,,,10157,1
10140,11259,143,124,1214,23,0.043478261,,,10158,49
10140,11292,127,124,1245,23,0.043478261,,,10165,1
10140,11298,150,124,1250,23,0.043478261,,,10170,1
10140,12191,89,124,2106,23,0.043478261,,,10185,4
10140,12266,74,124,2177,23,0.043478261,,,10208,1
10140,12478,31,124,2381,23,0.043478261,,,10245,1
10140,12889,120,124,2762,23,0.043478261,,,10257,144
10140,12892,97,124,2765,23,0.043478261,,,10268,1
10140,13198,31,124,3064,23,0.043478261,,,10279,25
10140,13204,14,124,3070,23,0.043478261,,,10299,676
10140,13232,68,124,3098,23,0.043478261,,,10333,4
10140,13487,29,124,3347,23,0.043478261,,,10372,49
10140,13796,89,124,3644,23,0.043478261,,,10397,24649
10140,13930,41,124,3770,23,0.043478261,,,10408,16
10140,14057,27,124,3892,23,0.043478261,,,10423,1849
10140,14107,237,124,3941,23,0.043478261,,,10431,16
10140,14679,62,124,4459,23,0.043478261,,,10434,16
10140,14747,31,124,4525,23,0.043478261,,,10469,9
10140,14771,50,124,4549,23,0.043478261,,,10529,625
10140,14869,90,124,4646,23,0.043478261,,,10551,1
10141,13487,62,125,3347,1,1,,,10561,9
10146,10397,41,130,373,1,1,,,10577,1
10154,10721,48,138,693,3,0.333333333,,,10581,9
10154,11278,15,138,1231,3,0.333333333,,,10590,1
10154,12478,113,138,2381,3,0.333333333,,,10599,169
10157,14771,97,141,4549,1,1,,,10620,16
10158,10397,31,142,373,7,0.142857143,,,10627,16
10158,10721,31,142,693,7,0.142857143,,,10631,1
10158,11697,62,142,1630,7,0.142857143,,,10685,9
10158,13204,93,142,3070,7,0.142857143,,,10693,1849
10158,13577,31,142,3432,7,0.142857143,,,10713,289
10158,14635,31,142,4417,7,0.142857143,,,10721,3481
10158,15304,31,142,5069,7,0.142857143,,,10731,1
10165,10299,9,149,278,1,1,,,10732,16
10170,10299,58,154,278,1,1,,,10739,1
10185,10397,12,168,373,2,0.5,,,10747,1
10185,12266,82,168,2177,2,0.5,,,10754,4
10208,10397,174,189,373,1,1,,,10779,1
10245,10299,5,225,278,1,1,,,10781,16
10257,10397,89,237,373,12,0.083333333,,,10785,16
10257,10821,178,237,792,12,0.083333333,,,10792,289
10257,11057,90,237,1019,12,0.083333333,,,10800,144
10257,11292,31,237,1245,12,0.083333333,,,10821,3969
10257,11433,89,237,1375,12,0.083333333,,,10849,144
10257,11618,20,237,1552,12,0.083333333,,,10868,16
10257,11697,45,237,1630,12,0.083333333,,,10874,64
10257,13204,81,237,3070,12,0.083333333,,,10918,1
10257,13232,62,237,3098,12,0.083333333,,,10926,4
10257,13487,31,237,3347,12,0.083333333,,,10980,16
10257,13930,120,237,3770,12,0.083333333,,,10990,9
10257,15304,31,237,5069,12,0.083333333,,,10994,400
10268,13930,58,248,3770,1,1,,,11003,36
10279,11259,120,259,1214,5,0.2,,,11013,1
10279,11292,2,259,1245,5,0.2,,,11042,1296
10279,11298,9,259,1250,5,0.2,,,11049,4
10279,12266,89,259,2177,5,0.2,,,11057,4624
10279,12889,31,259,2762,5,0.2,,,11066,676
10299,10165,9,278,149,26,0.038461538,,,11076,1
10299,10170,58,278,154,26,0.038461538,,,11097,9
10299,10245,5,278,225,26,0.038461538,,,11109,169
10299,10397,31,278,373,26,0.038461538,,,11111,4
10299,10551,85,278,524,26,0.038461538,,,11122,1
10299,10754,17,278,726,26,0.038461538,,,11140,4
10299,10926,31,278,892,26,0.038461538,,,11146,16
10299,11292,44,278,1245,26,0.038461538,,,11150,1
10299,11298,31,278,1250,26,0.038461538,,,11193,1225
10299,11336,26,278,1285,26,0.038461538,,,11203,1
10299,11618,4,278,1552,26,0.038461538,,,11252,4
10299,11630,91,278,1564,26,0.038461538,,,11259,3025
10299,12173,31,278,2090,26,0.038461538,,,11267,49
10299,12266,14,278,2177,26,0.038461538,,,11278,2209
10299,12523,115,278,2423,26,0.038461538,,,11292,17161
10299,12892,83,278,2765,26,0.038461538,,,11298,10609
10299,13487,86,278,3347,26,0.038461538,,,11308,1
10299,13873,36,278,3718,26,0.038461538,,,11336,1
10299,13930,93,278,3770,26,0.038461538,,,11337,4
10299,13970,57,278,3809,26,0.038461538,,,11413,9
10299,14057,120,278,3892,26,0.038461538,,,11423,121
10299,14107,22,278,3941,26,0.038461538,,,11433,10201
10299,14709,62,278,4489,26,0.038461538,,,11447,4
10299,14747,796,278,4525,26,0.038461538,,,11471,1
10299,14771,33,278,4549,26,0.038461538,,,11481,81
10299,14869,9,278,4646,26,0.038461538,,,11503,4
10333,11433,31,310,1375,2,0.5,,,11525,1
10333,14150,22,310,3982,2,0.5,,,11540,121
10372,11292,231,348,1245,7,0.142857143,,,11577,4
10372,11298,31,348,1250,7,0.142857143,,,11587,1
10372,12266,16,348,2177,7,0.142857143,,,11603,36
10372,12892,79,348,2765,7,0.142857143,,,11612,9
10372,13930,62,348,3770,7,0.142857143,,,11617,1
10372,14771,31,348,4549,7,0.142857143,,,11618,6724
10372,14869,31,348,4646,7,0.142857143,,,11624,1
10397,10135,77,373,119,157,0.006369427,,,11630,16
10397,10140,93,373,124,157,0.006369427,,,11637,9
10397,10146,40,373,130,157,0.006369427,,,11638,81
10397,10158,31,373,142,157,0.006369427,,,11641,1
10397,10185,12,373,168,157,0.006369427,,,11648,49
10397,10208,176,373,189,157,0.006369427,,,11695,1
10397,10257,89,373,237,157,0.006369427,,,11697,3600
10397,10299,31,373,278,157,0.006369427,,,11721,16
10397,10408,58,373,384,157,0.006369427,,,11775,25
10397,10423,332,373,399,157,0.006369427,,,11778,1
10397,10431,196,373,406,157,0.006369427,,,11823,25
10397,10434,31,373,409,157,0.006369427,,,11865,1
10397,10529,201,373,503,157,0.006369427,,,11884,196
10397,10599,307,373,572,157,0.006369427,,,11898,1
10397,10685,82,373,657,157,0.006369427,,,11921,9
10397,10693,297,373,665,157,0.006369427,,,11953,1
10397,10721,608,373,693,157,0.006369427,,,11973,4
10397,10731,73,373,703,157,0.006369427,,,11977,16
10397,10781,233,373,753,157,0.006369427,,,11980,1
10397,10785,45,373,757,157,0.006369427,,,11982,9
10397,10792,148,373,764,157,0.006369427,,,11986,100
10397,10821,575,373,792,157,0.006369427,,,11995,49
10397,10849,10,373,819,157,0.006369427,,,11996,49
10397,10868,232,373,836,157,0.006369427,,,11997,1
10397,10874,104,373,842,157,0.006369427,,,12003,16
10397,10980,165,373,945,157,0.006369427,,,12007,1
10397,10990,53,373,954,157,0.006369427,,,12016,1
10397,10994,322,373,958,157,0.006369427,,,12094,4
10397,11003,77,373,967,157,0.006369427,,,12129,1
10397,11042,335,373,1004,157,0.006369427,,,12156,9
10397,11057,475,373,1019,157,0.006369427,,,12173,729
10397,11066,341,373,1028,157,0.006369427,,,12177,1
10397,11109,31,373,1071,157,0.006369427,,,12191,2209
10397,11146,45,373,1107,157,0.006369427,,,12197,64
10397,11150,96,373,1111,157,0.006369427,,,12206,9
10397,11193,248,373,1153,157,0.006369427,,,12217,16
10397,11252,147,373,1207,157,0.006369427,,,12250,1
10397,11259,298,373,1214,157,0.006369427,,,12255,1
10397,11267,117,373,1222,157,0.006369427,,,12264,1369
10397,11278,465,373,1231,157,0.006369427,,,12265,9
10397,11292,511,373,1245,157,0.006369427,,,12266,10816
10397,11298,585,373,1250,157,0.006369427,,,12278,100
10397,11308,120,373,1258,157,0.006369427,,,12280,9
10397,11423,87,373,1366,157,0.006369427,,,12323,9
10397,11433,496,373,1375,157,0.006369427,,,12335,4
